OCTUBRE,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,_sheet,_row_number,_imported_at
9,,,,,,,,,2026-Octubre.Diciembre,73,2026-01-12T10:12:30.821139
10,,,,,,,,,2026-Octubre.Diciembre,74,2026-01-12T10:12:30.821139
11,,,,,,,,,2026-Octubre.Diciembre,75,2026-01-12T10:12:30.821139
12,,,,,,,,,2026-Octubre.Diciembre,76,2026-01-12T10:12:30.821139
13,,,,,,,,,2026-Octubre.Diciembre,77,2026-01-12T10:12:30.821139
14,,,,,,,,,2026-Octubre.Diciembre,78,2026-01-12T10:12:30.821139
15,,,,,,,,,2026-Octubre.Diciembre,79,2026-01-12T10:12:30.821139
16,,,,,,,,,2026-Octubre.Diciembre,80,2026-01-12T10:12:30.821139
17,,,,,,,,,2026-Octubre.Diciembre,81,2026-01-12T10:12:30.821139
18,,,,,,,,,2026-Octubre.Diciembre,82,2026-01-12T10:12:30.821139
19,,,,,,,,,2026-Octubre.Diciembre,83,2026-01-12T10:12:30.821139
20,,,,,,,,,2026-Octubre.Diciembre,84,2026-01-12T10:12:30.821139
21,,,,,,,,,2026-Octubre.Diciembre,85,2026-01-12T10:12:30.821139
22,,,,,,,,,2026-Octubre.Diciembre,86,2026-01-12T10:12:30.821139
23,,,,,,,,,2026-Octubre.Diciembre,87,2026-01-12T10:12:30.821139
24,,,,,,,,,2026-Octubre.Diciembre,88,2026-01-12T10:12:30.821139
25,,,,,,,,,2026-Octubre.Diciembre,89,2026-01-12T10:12:30.821139
26,,,,,,,,,2026-Octubre.Diciembre,90,2026-01-12T10:12:30.821139
27,,,,,,,,,2026-Octubre.Diciembre,91,2026-01-12T10:12:30.821139
28,,,,,,,,,2026-Octubre.Diciembre,92,2026-01-12T10:12:30.821139
29,,,,,,,,,2026-Octubre.Diciembre,93,2026-01-12T10:12:30.821139
30,,,,,,,,,2026-Octubre.Diciembre,94,2026-01-12T10:12:30.821139
31,,,,,,,,,2026-Octubre.Diciembre,95,2026-01-12T10:12:30.821139
