JULIO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,_sheet,_row_number,_imported_at
7,,,,,,,,,2026-Julio.Septiembre,72,2026-01-12T10:12:30.821139
8,,,,,,,,,2026-Julio.Septiembre,73,2026-01-12T10:12:30.821139
9,,,,,,,,,2026-Julio.Septiembre,74,2026-01-12T10:12:30.821139
10,,,,,,,,,2026-Julio.Septiembre,75,2026-01-12T10:12:30.821139
11,,,,,,,,,2026-Julio.Septiembre,76,2026-01-12T10:12:30.821139
12,,,,,,,,,2026-Julio.Septiembre,77,2026-01-12T10:12:30.821139
13,,,,,,,,,2026-Julio.Septiembre,78,2026-01-12T10:12:30.821139
14,,,,,,,,,2026-Julio.Septiembre,79,2026-01-12T10:12:30.821139
15,,,,,,,,,2026-Julio.Septiembre,80,2026-01-12T10:12:30.821139
16,,,,,,,,,2026-Julio.Septiembre,81,2026-01-12T10:12:30.821139
17,,,,,,,,,2026-Julio.Septiembre,82,2026-01-12T10:12:30.821139
18,,,,,,,,,2026-Julio.Septiembre,83,2026-01-12T10:12:30.821139
19,,,,,,,,,2026-Julio.Septiembre,84,2026-01-12T10:12:30.821139
20,,,,,,,,,2026-Julio.Septiembre,85,2026-01-12T10:12:30.821139
21,,,,,,,,,2026-Julio.Septiembre,86,2026-01-12T10:12:30.821139
22,,,,,,,,,2026-Julio.Septiembre,87,2026-01-12T10:12:30.821139
23,,,,,,,,,2026-Julio.Septiembre,88,2026-01-12T10:12:30.821139
24,,,,,,,,,2026-Julio.Septiembre,89,2026-01-12T10:12:30.821139
25,,,,,,,,,2026-Julio.Septiembre,90,2026-01-12T10:12:30.821139
26,,,,,,,,,2026-Julio.Septiembre,91,2026-01-12T10:12:30.821139
27,,,,,,,,,2026-Julio.Septiembre,92,2026-01-12T10:12:30.821139
28,,,,,,,,,2026-Julio.Septiembre,93,2026-01-12T10:12:30.821139
29,,,,,,,,,2026-Julio.Septiembre,94,2026-01-12T10:12:30.821139
30,,,,,,,,,2026-Julio.Septiembre,95,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,96,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,97,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,98,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,99,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE JULIO  (MICE + F & B),,,,,,,,,2026-Julio.Septiembre,100,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,101,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,2026,,2026-Julio.Septiembre,102,2026-01-12T10:12:30.821139
SALAS,,4508.26,3797.52,3856.2,3421.49,3863.64,,,2026-Julio.Septiembre,103,2026-01-12T10:12:30.821139
AUDIOS,,0,0,66.12,289.26,13.22,,,2026-Julio.Septiembre,104,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,19532.73,12900.91,18545.27,13784.38,0,,,2026-Julio.Septiembre,105,2026-01-12T10:12:30.821139
BANQUETES,,4765.45,3585.45,9041,4568.18,0,,,2026-Julio.Septiembre,106,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,16195.14,4101.86,3415.11,5613.23,1003.64,,,2026-Julio.Septiembre,107,2026-01-12T10:12:30.821139
COFFEE-BREAK,,54.55,272.73,481.82,407.27,582.73,,,2026-Julio.Septiembre,108,2026-01-12T10:12:30.821139
ROOM-SERVICE,,5169.51,2212.88,2264.29,2423.31,2184.15,,,2026-Julio.Septiembre,109,2026-01-12T10:12:30.821139
DESAYUNO,,43446.68,47619.9,58286.29,52953.29,49488.51,,,2026-Julio.Septiembre,110,2026-01-12T10:12:30.821139
MINIBAR,,1852.27,2503.09,2940,2231.66,2377.63,,,2026-Julio.Septiembre,111,2026-01-12T10:12:30.821139
BAR,,5484.81,1792.91,2100.64,1736.84,6762.44,,,2026-Julio.Septiembre,112,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,113,2026-01-12T10:12:30.821139
,TOTAL,101009.40000000001,78787.25,100996.74,87428.91,66275.95999999999,,,2026-Julio.Septiembre,114,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,115,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-34733.44000000002,,,,,,2026-Julio.Septiembre,116,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,-12511.290000000008,,,,,,2026-Julio.Septiembre,117,2026-01-12T10:12:30.821139
