ENERO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,_sheet,_row_number,_imported_at
15,,FEM. ATLETICO MADRID/FISIO,FEM. ATLETICO MADRID/CHARLA,FEM. ATLETICO MADRID/COMEDOR,FEM. ATLETICO MADRID/COMEDOR,,JORNADAS LACONICAS,,,2025-ENERO.MARZO,48,2026-01-12T10:12:30.821139
16,,FEM. ATLETICO MADRID/FISIO,FEM. ATLETICO MADRID/CHARLA,FEM. ATLETICO MADRID/COMEDOR,FEM. ATLETICO MADRID/COMEDOR,,JORNADAS LACONICAS,,,2025-ENERO.MARZO,49,2026-01-12T10:12:30.821139
17,,,,MONTAJE X TARDE TAMARIS,,,,,,2025-ENERO.MARZO,50,2026-01-12T10:12:30.821139
18,,,,TAMARIS,,,,, ,2025-ENERO.MARZO,51,2026-01-12T10:12:30.821139
19,,,,TAMARIS,,,,,,2025-ENERO.MARZO,52,2026-01-12T10:12:30.821139
20,,,"KEYTEL EVENTS/""U"" 15 pax   COFFEE DENTRO SALA",,SINGULAR BANK                         COFFEES VARIOS DENTRO SALA,," DESVIO ""EXE"" IMSERSO/52 PAX MP",, ,2025-ENERO.MARZO,53,2026-01-12T10:12:30.821139
21,,,"KEYTEL EVENTS/""U"" 15 pax   COFFEE DENTRO SALA",,,,"DESVIO  ""EXE"" IMSERSO/52 PAX MP",,,2025-ENERO.MARZO,54,2026-01-12T10:12:30.821139
22,,,UEM/ Examen 40 PAX,UEM/ Examen 40 PAX,,,"JORNADAS LACONICAS                 DESVIO ""EXE"" IMSERSO/52 PAX MP",,,2025-ENERO.MARZO,55,2026-01-12T10:12:30.821139
23,,UEM/ Examen 10 PAX,,,,,JORNADAS LACONICAS,,,2025-ENERO.MARZO,56,2026-01-12T10:12:30.821139
24,MONTAJE EL GANSO,,MONTAJE  x TARDE DARIO,,EXP. GIOSEPPO                          MONTAJE X TARDE,,,,,2025-ENERO.MARZO,57,2026-01-12T10:12:30.821139
25,EL GANSO,,EXPO. DARIO CHOUZA,,GIOSEPPO,,,,,2025-ENERO.MARZO,58,2026-01-12T10:12:30.821139
26,EL GANSO,"GT MOTIVE/UK  11 PAX ""U""","GT MOTIVE/SALES ""U"" 14 PAX",GT MOTIVE DIRECCION COCKTAIL,GIOSEPPO,,,CLUB DE LECTURA/17'00 HRS.,,2025-ENERO.MARZO,59,2026-01-12T10:12:30.821139
27,EL GANSO,,,,GIOSEPPO,,,,,2025-ENERO.MARZO,60,2026-01-12T10:12:30.821139
28,OUT EL GANSO,,,,,,,,,2025-ENERO.MARZO,61,2026-01-12T10:12:30.821139
MARZO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,,2025-ENERO.MARZO,62,2026-01-12T10:12:30.821139
1,,,Montaje x EXP.LODI,,MONTAJE X TARDE EXP. AMARPIES,,LACONICAS: 50 PAX MEDICOS,,,2025-ENERO.MARZO,63,2026-01-12T10:12:30.821139
2,,,LODI,Montaje x tarde EXP. HISPANITAS,AMARPIES (ARTURO AMAT),,,,,2025-ENERO.MARZO,64,2026-01-12T10:12:30.821139
3,,,LODI,HISPANITAS,AMARPIES (ARTURO AMAT),,,,,2025-ENERO.MARZO,65,2026-01-12T10:12:30.821139
4,,,Desmontaje LODI,HISPANITAS,OUT  -  AMARPIES (ARTURO AMAT),,FESTIVO LOCAL                                MARTES CARNAVAL                                ,,,2025-ENERO.MARZO,66,2026-01-12T10:12:30.821139
5,,,Montaje CALZADOS GONZALO,,,,,,,2025-ENERO.MARZO,67,2026-01-12T10:12:30.821139
6,COCKTAIL  GSX  15 PAX/20'00 HRS.,GSK/15 PAX-19'00 HRS.,CALZADOS GONZALO,,,,,,,2025-ENERO.MARZO,68,2026-01-12T10:12:30.821139
7,,,,,,,,,,2025-ENERO.MARZO,69,2026-01-12T10:12:30.821139
8,,,,,,,JORNADAS LACONICAS,,,2025-ENERO.MARZO,70,2026-01-12T10:12:30.821139
9,,,,,,,JORNADAS LACONICAS,,,2025-ENERO.MARZO,71,2026-01-12T10:12:30.821139
10,,,,JUAN CARLOS RAMIREZ,,,,,,2025-ENERO.MARZO,72,2026-01-12T10:12:30.821139
11,REUNION COMITÉ DE EMPRESA,,,JUAN CARLOS RAMIREZ,,,,,,2025-ENERO.MARZO,73,2026-01-12T10:12:30.821139
12,,,,,,,,,,2025-ENERO.MARZO,74,2026-01-12T10:12:30.821139
13,,PALEX MEDICAL,,,,,,,,2025-ENERO.MARZO,75,2026-01-12T10:12:30.821139
14,,,,,,,LA LIGA GENUINE/cena  (76 pax),,,2025-ENERO.MARZO,76,2026-01-12T10:12:30.821139
15,,,,LA LIGA GENUINE/PC (85 pax),LA LIGA GENUINE/PC (85 pax),,LA LIGA GENUINE/PC (122 pax),,,2025-ENERO.MARZO,77,2026-01-12T10:12:30.821139
16,,,PEPE MOLL x tarde/noche,LA LIGA GENUINE: PICNICS 8'00,140 UNIDADES.,,LA LIGA GENUINE/MP (67 pax),,,2025-ENERO.MARZO,78,2026-01-12T10:12:30.821139
17,,,PEPE MOLL EXP.,,,,,,,2025-ENERO.MARZO,79,2026-01-12T10:12:30.821139
18,,,PEPE MOLL EXP.,,,,,,,2025-ENERO.MARZO,80,2026-01-12T10:12:30.821139
19,TRABAJOS JARDINERIA,TRABAJOS JARDINERIA,TRABAJOS JARDINERIA,TRABAJOS JARDINERIA,TRABAJOS JARDINERIA,TRABAJOS JARDINERIA,TRABAJOS JARDINERIA,,,2025-ENERO.MARZO,81,2026-01-12T10:12:30.821139
20,,,,,SIMULACRO BOMBEROS                 CURSO: 14'00 y SIMULACRO: 15'00,,,,,2025-ENERO.MARZO,82,2026-01-12T10:12:30.821139
21,UDG COSTA ADEJE               TENERIFE B FEMENINO,UDG COSTA ADEJE               TENERIFE B FEMENINO,UDG COSTA ADEJE               TENERIFE B FEMENINO,UDG COSTA ADEJE               TENERIFE B FEMENINO,Montaje UEM,,,,,2025-ENERO.MARZO,83,2026-01-12T10:12:30.821139
22,UDG COSTA ADEJE               TENERIFE B FEMENINO,UDG COSTA ADEJE               TENERIFE B FEMENINO,UDG COSTA ADEJE               TENERIFE B FEMENINO,UDG COSTA ADEJE               TENERIFE B FEMENINO,"UEM x 30 pax ""ESCUELA""",,,,,2025-ENERO.MARZO,84,2026-01-12T10:12:30.821139
23,,,,,"UEM x 30 pax ""ESCUELA""",,,,,2025-ENERO.MARZO,85,2026-01-12T10:12:30.821139
24,,,,,,,,,,2025-ENERO.MARZO,86,2026-01-12T10:12:30.821139
25,"REUNIÓN SR. BARRAN                ""U"" 6 PAX + COFFEE",,,,,,,,,2025-ENERO.MARZO,87,2026-01-12T10:12:30.821139
26,,,,,"GENERAL OPTICA/""U"" 25 PAX MJ",COFFEE-BREAK /GEN.OP,,,,2025-ENERO.MARZO,88,2026-01-12T10:12:30.821139
27,,,,,,,,,,2025-ENERO.MARZO,89,2026-01-12T10:12:30.821139
28,,,,,,,,,,2025-ENERO.MARZO,90,2026-01-12T10:12:30.821139
29,,,,,,,,,,2025-ENERO.MARZO,91,2026-01-12T10:12:30.821139
30,,,,,,,,,,2025-ENERO.MARZO,92,2026-01-12T10:12:30.821139
31,,DICOFARM/ENTREVISTAS,,,,,,,,2025-ENERO.MARZO,93,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,94,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,95,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,96,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE ENERO  (MICE + F & B),,,,,,,,,,2025-ENERO.MARZO,97,2026-01-12T10:12:30.821139
,,,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,2025-ENERO.MARZO,98,2026-01-12T10:12:30.821139
,2019,2022,2023,2024,2025,,MES DE ENERO,,,2025-ENERO.MARZO,99,2026-01-12T10:12:30.821139
SALAS,2446.17,90.91,2049.59,2145.45,3207.85,,,,,2025-ENERO.MARZO,100,2026-01-12T10:12:30.821139
AUDIOS,0,0,70.25,4325.32,2334.71,Ejercicio    2019,129521.31,,,2025-ENERO.MARZO,101,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,19265.73,0,8114.27,10550.64,4027.88,Ejercicio    2020,144149.44,,,2025-ENERO.MARZO,102,2026-01-12T10:12:30.821139
BANQUETES,4076.36,854.55,1914.55,9380.64,1575.45,Ejercicio    2021,136.07,,,2025-ENERO.MARZO,103,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,1771.59,1353.64,3050.2,3381.82,5945.64,Ejercicio    2022,72661.3,,,2025-ENERO.MARZO,104,2026-01-12T10:12:30.821139
COFFEE-BREAK,5622.53,9.55,668.18,1570,2150.91,Ejercicio    2023,110391.46,,,2025-ENERO.MARZO,105,2026-01-12T10:12:30.821139
ROOM-SERVICE,4817.22,1163.99,1371.34,1643.18,471.63,Ejercicio    2024,170923.77,,,2025-ENERO.MARZO,106,2026-01-12T10:12:30.821139
DESAYUNO,22079.38,11665.19,20385.76,32475.88,22198.76,Ejercicio    2025,152183.79,,,2025-ENERO.MARZO,107,2026-01-12T10:12:30.821139
MINIBAR,1561.14,950,1465.91,1693.64,1330.91,,,Diferencia (2019-2025):,22662.48000000001,2025-ENERO.MARZO,108,2026-01-12T10:12:30.821139
BAR,1889.27,1031.82,947.95,2834.09,4249.48,,,Diferencia (2020-2025):,8034.350000000006,2025-ENERO.MARZO,109,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2021-2025):,152047.72,2025-ENERO.MARZO,110,2026-01-12T10:12:30.821139
TOTAL,63529.39,17119.65,40038,70000.65999999999,47493.22,,,Diferencia (2022-2025):,79522.49,2025-ENERO.MARZO,111,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2023-2025):,41792.33,2025-ENERO.MARZO,112,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-16036.169999999998,,,,,Diferencia (2024-2025):,-18739.97999999998,2025-ENERO.MARZO,113,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,30373.57,,,,,,,2025-ENERO.MARZO,114,2026-01-12T10:12:30.821139
