Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,_sheet,_row_number,_imported_at
Ejercicio    2025,306233.04,,,Ejercicio    2025,378689.85,,,Ejercicio    2025,389446.19,,,ALOJAMIENTO COMP. 2026,41,2026-01-12T10:12:30.821139
Ejercicio    2026,43691.06,,,Ejercicio    2026,145034.01,,,Ejercicio    2026,151286.32,,,ALOJAMIENTO COMP. 2026,42,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,43,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,44,2026-01-12T10:12:30.821139
,,,,,,Diferencia (2019-2025):,127736.84999999998,,,,,ALOJAMIENTO COMP. 2026,45,2026-01-12T10:12:30.821139
,,,,,,Diferencia (2020-2025):,378776.67,,,Diferencia (2019-2025):,141074.35,ALOJAMIENTO COMP. 2026,46,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,98858.43,,,Diferencia (2021-2025):,353373.98,,,Diferencia (2020-2025):,389519.85,ALOJAMIENTO COMP. 2026,47,2026-01-12T10:12:30.821139
,,Diferencia (2020-2025):,306372.06,,,Diferencia (2022-2025):,166808.12999999998,,,Diferencia (2021-2025):,260202.22999999998,ALOJAMIENTO COMP. 2026,48,2026-01-12T10:12:30.821139
,,Diferencia (2021-2025):,306321.73,,,Diferencia (2023-2025):,67355.14999999997,,,Diferencia (2022-2025):,120720.65000000002,ALOJAMIENTO COMP. 2026,49,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,75422.73999999999,,,Diferencia (2024-2025):,-55690.090000000026,,,Diferencia (2023-2025):,16306.130000000005,ALOJAMIENTO COMP. 2026,50,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,48224.78999999998,,,Diferencia (2025-2026):,-233655.83999999997,,,Diferencia (2024-2025):,-11249.799999999988,ALOJAMIENTO COMP. 2026,51,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,93313.74999999997,,,,,,,Diferencia (2025-2026):,-238159.87,ALOJAMIENTO COMP. 2026,52,2026-01-12T10:12:30.821139
,,Diferencia (2025-2026):,-262541.98,,,,,,,,,ALOJAMIENTO COMP. 2026,53,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,54,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,55,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,56,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,57,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,58,2026-01-12T10:12:30.821139
