OCTUBRE,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,Unnamed: 10,_sheet,_row_number,_imported_at
4,EUROSTARS HOTELS,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,37,2026-01-12T10:12:30.821139
5,,APR SALUD,,,,,,,,,2025-OCTUBRE.DICIEMBRE,38,2026-01-12T10:12:30.821139
6,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,39,2026-01-12T10:12:30.821139
7,CULTURAL LEONESA,CULTURAL LEONESA,CULTURAL LEONESA,CULTURAL LEONESA,CULTURAL LEONESA,,,,,,2025-OCTUBRE.DICIEMBRE,40,2026-01-12T10:12:30.821139
8,CULTURAL LEONESA,CULTURAL LEONESA,CULTURAL LEONESA,CULTURAL LEONESA,CULTURAL LEONESA,,,LEONCIO/COFFEE 12 PAX,,,2025-OCTUBRE.DICIEMBRE,41,2026-01-12T10:12:30.821139
9,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,42,2026-01-12T10:12:30.821139
10,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,43,2026-01-12T10:12:30.821139
11,,LEONARDO TEJEDOR montaje x tarde,,,,,,,,,2025-OCTUBRE.DICIEMBRE,44,2026-01-12T10:12:30.821139
12,,LEONARDO TEJEDOR,"SCHINDLER ""ESCUELA"" 20 PAX + PANTALLA",,PROFIRST,COFFEE-BREAK SCHINDLER 20 PAX,,,,,2025-OCTUBRE.DICIEMBRE,45,2026-01-12T10:12:30.821139
13,,,,,PROFIRST,,,,,,2025-OCTUBRE.DICIEMBRE,46,2026-01-12T10:12:30.821139
14,,,,,PROFIRST,,,,,,2025-OCTUBRE.DICIEMBRE,47,2026-01-12T10:12:30.821139
15,UEM-TFM JC,,,,PROFIRST,,,,,,2025-OCTUBRE.DICIEMBRE,48,2026-01-12T10:12:30.821139
16,,,,PROFIRST,PROFIRST,,,,,,2025-OCTUBRE.DICIEMBRE,49,2026-01-12T10:12:30.821139
17,,,,PROFIRST,PROFIRST,,,,,,2025-OCTUBRE.DICIEMBRE,50,2026-01-12T10:12:30.821139
18,ELECNOR 11PAX / JC,,,PROFIRST,PROFIRST,COFFEE-BREAK ELECNOR/11 PAX,,CENA PROFIRST/9 PAX,,,2025-OCTUBRE.DICIEMBRE,51,2026-01-12T10:12:30.821139
19,ELECNOR 11PAX / MJ,EUROSTARS HOTELS,,PROFIRST,PROFIRST,COFFEE-BREAK ELECNOR/11 PAX,,,,,2025-OCTUBRE.DICIEMBRE,52,2026-01-12T10:12:30.821139
20,,MONTAJE BLUE HOLE,,PROFIRST,PROFIRST,,,,,,2025-OCTUBRE.DICIEMBRE,53,2026-01-12T10:12:30.821139
21,RENOWA HEALTH,BLUE HOLE,JUBILACION MAPY/24 PAX,,,,,,,,2025-OCTUBRE.DICIEMBRE,54,2026-01-12T10:12:30.821139
22,AD CEUTA,AD CEUTA,AD CEUTA,AD CEUTA,AD CEUTA,LLEGADA CENA/PC,,,,,2025-OCTUBRE.DICIEMBRE,55,2026-01-12T10:12:30.821139
23,AD CEUTA,AD CEUTA,AD CEUTA,AD CEUTA,AD CEUTA,PC,,,,,2025-OCTUBRE.DICIEMBRE,56,2026-01-12T10:12:30.821139
24,AD CEUTA,AD CEUTA,AD CEUTA,AD CEUTA,AD CEUTA,DESAYUNO Y SALIDA AD CEUTA,,,,,2025-OCTUBRE.DICIEMBRE,57,2026-01-12T10:12:30.821139
25,BLOQUEO COCINA,BLOQUEO F&B,,BICO DE XEADO/COCKTAIL CENA 90 PAX,BICO DE XEADO/COCKTAIL CENA 90 PAX,,,,,,2025-OCTUBRE.DICIEMBRE,58,2026-01-12T10:12:30.821139
26,PORTOCABO,REUNION ROTARY,CHARLA ROTARY CLUB/30 PAX,COCKTAIL ROTARY CLUB/30 PAX,,,,,,,2025-OCTUBRE.DICIEMBRE,59,2026-01-12T10:12:30.821139
27,PORTOCABO,,CORREOS-COMIDA NAVIDAD-20 PAX,,,,,,,,2025-OCTUBRE.DICIEMBRE,60,2026-01-12T10:12:30.821139
28,,,IMAYA FORMACION                                                                         ESCUELA 18 PAX,ARTURO RIAL-COAC (70 PAX),COCKTAIL NAVIDAD-COAC             (70 PAX),COFFEES-IMAYA FORM./18 PAX,,,,,2025-OCTUBRE.DICIEMBRE,61,2026-01-12T10:12:30.821139
29,,,IMAYA FORMACION                                                                      ESCUELA 18 PAX,,,COFFEES-IMAYA FORM./18 PAX,,,,,2025-OCTUBRE.DICIEMBRE,62,2026-01-12T10:12:30.821139
30,,,IMAYA FORMACION                                                                                  ESCUELA 18 PAX,,,COFFEES-IMAYA FORM./18 PAX,,,,,2025-OCTUBRE.DICIEMBRE,63,2026-01-12T10:12:30.821139
DICIEMBRE,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,,,2025-OCTUBRE.DICIEMBRE,64,2026-01-12T10:12:30.821139
1,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,65,2026-01-12T10:12:30.821139
2,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,66,2026-01-12T10:12:30.821139
3,,,"GENERAL OPTICA/""U"" 22 PAX + AUDIOS",PALEX COCKTAIL CLAUSURA/33 PAX,"PALEX MEDICAL/""U"" 33 PAX + AUDIOS",COFFEE GENERAL OPTICA/22 PAX,,,,,2025-OCTUBRE.DICIEMBRE,67,2026-01-12T10:12:30.821139
4,,,,,EQUIPO PALEX/BLOQUEO,,,,,,2025-OCTUBRE.DICIEMBRE,68,2026-01-12T10:12:30.821139
5,GRANADA CF FEM.,GRANADA CF FEM.,GRANADA CD FEM.,GRANADA CD FEM.,GRANADA CD FEM.,LLEGADA CENA,,,,,2025-OCTUBRE.DICIEMBRE,69,2026-01-12T10:12:30.821139
6,GRANADA CF FEM.,GRANADA CF FEM.,GRANADA CD FEM.,GRANADA CD FEM.,GRANADA CD FEM.,DESAYUNO Y SALIDA GRANADA,FESTIVO,,,,2025-OCTUBRE.DICIEMBRE,70,2026-01-12T10:12:30.821139
7,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,71,2026-01-12T10:12:30.821139
8,,,,,,,FESTIVO,,,,2025-OCTUBRE.DICIEMBRE,72,2026-01-12T10:12:30.821139
9,,,,,,,,CLUB DE LECTURA/NAVIDAD,,,2025-OCTUBRE.DICIEMBRE,73,2026-01-12T10:12:30.821139
10,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,74,2026-01-12T10:12:30.821139
11,,,,AGAFAC-COCKTAIL 14'30 HRS./50 PAX,AGAFAC-COCKTAIL 14'30 HRS./ 50 PAX,,,,,,2025-OCTUBRE.DICIEMBRE,75,2026-01-12T10:12:30.821139
12,,,COCKTAIL CENA/AGRUPACION 55 PAX,OGMIOS PROYECTO                                       COMIDA NAVIDAD/48 PAX,OGMIOS PROYECTO                                                                      COMIDA NAVIDAD/48 PAX,,,,,,2025-OCTUBRE.DICIEMBRE,76,2026-01-12T10:12:30.821139
13,UEM-TFM MJ/10 PAX,REAL SOCIEDAD B,REAL SOCIEDAD B,REAL SOCIEDAD B,REAL SOCIEDAD B,,GRUPO HOTUSA                                                               PC-28 PAX,,,,2025-OCTUBRE.DICIEMBRE,77,2026-01-12T10:12:30.821139
14,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,78,2026-01-12T10:12:30.821139
15,,,MONTAJE x TARDE/EXPOS. XTI,,,,,,,,2025-OCTUBRE.DICIEMBRE,79,2026-01-12T10:12:30.821139
16,,,XTI,COLEGIO GESTORES                 COMIDA NAVIDAD/43 PAX,COLEGIO GESTORES                 APERITIVO  NAVIDAD/43 PAX,,,,,,2025-OCTUBRE.DICIEMBRE,80,2026-01-12T10:12:30.821139
17,,,,,,,,PINCHOS PERSONAL HOTEL,,,2025-OCTUBRE.DICIEMBRE,81,2026-01-12T10:12:30.821139
18,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,82,2026-01-12T10:12:30.821139
19,COLEGIO ODONTOLOGOS CENA 16 PAX,BLOQUEO F&B,CENA NAVIDAD/122 PAX VEGALSA,CENA NAVIDAD/122 PAX VEGALSA,CENA NAVIDAD/122 PAX VEGALSA,APERITIVO BIENVENIDA                                                            VEGALSA 122 PAX,AUTORIDAD PORTUARIA/143 PAX COMIDA NAVIDAD,,,,2025-OCTUBRE.DICIEMBRE,83,2026-01-12T10:12:30.821139
20,,,,ROTARY CLUB/CENA NAVIDAD,ROTARY CLUB/CENA NAVIDAD,APERITIVO ROTARY CLUB/52 pax,,,,,2025-OCTUBRE.DICIEMBRE,84,2026-01-12T10:12:30.821139
21,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,85,2026-01-12T10:12:30.821139
22,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,86,2026-01-12T10:12:30.821139
23,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,87,2026-01-12T10:12:30.821139
24,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,88,2026-01-12T10:12:30.821139
25,,,,,,,FESTIVO,,,,2025-OCTUBRE.DICIEMBRE,89,2026-01-12T10:12:30.821139
26,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,90,2026-01-12T10:12:30.821139
27,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,91,2026-01-12T10:12:30.821139
28,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,92,2026-01-12T10:12:30.821139
29,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,93,2026-01-12T10:12:30.821139
30,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,94,2026-01-12T10:12:30.821139
31,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,95,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,96,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,97,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,98,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE OCTUBRE  (MICE + F & B),,,,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,2025-OCTUBRE.DICIEMBRE,99,2026-01-12T10:12:30.821139
,,,,,,,,MES DE OCTUBRE,,,2025-OCTUBRE.DICIEMBRE,100,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,,,,,2025-OCTUBRE.DICIEMBRE,101,2026-01-12T10:12:30.821139
SALAS,,6727.27,5207.02,3729.75,3114.05,5022.73,,,,,2025-OCTUBRE.DICIEMBRE,102,2026-01-12T10:12:30.821139
AUDIOS,,2809.92,185.95,454.55,0,2149.37,Ejercicio    2019,301420.67,,,2025-OCTUBRE.DICIEMBRE,103,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,18427.27,13777.05,12283.94,11931.29,0,Ejercicio    2020,38282.86,,,2025-OCTUBRE.DICIEMBRE,104,2026-01-12T10:12:30.821139
BANQUETES,,8521.27,1928.18,4400,8895.45,4440.91,Ejercicio    2021,227138.06,,,2025-OCTUBRE.DICIEMBRE,105,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,8222.04,14705.23,16309.31,9076.02,13838.62,Ejercicio    2022,271775.34,,,2025-OCTUBRE.DICIEMBRE,106,2026-01-12T10:12:30.821139
COFFEE-BREAK,,1217.27,1281.82,695.45,700.91,1931.59,Ejercicio    2023,358490.32,,,2025-OCTUBRE.DICIEMBRE,107,2026-01-12T10:12:30.821139
ROOM-SERVICE,,3079.22,2170.26,1673.3,2182.01,1645.77,Ejercicio    2024,322142.05,,,2025-OCTUBRE.DICIEMBRE,108,2026-01-12T10:12:30.821139
DESAYUNO,,34364.68,40038.62,53956.37,38192.61,45487.42,Ejercicio    2025,395286.16,,,2025-OCTUBRE.DICIEMBRE,109,2026-01-12T10:12:30.821139
MINIBAR,,1565.91,2111.36,2100,1657.5,1625.47,,,,,2025-OCTUBRE.DICIEMBRE,110,2026-01-12T10:12:30.821139
BAR,,4947.73,1572.14,2812.74,1968.76,6590.25,,,Diferencia (2019-2025):,93865.48999999999,2025-OCTUBRE.DICIEMBRE,111,2026-01-12T10:12:30.821139
,,,,,,,,,Diferencia (2020-2025):,357003.3,2025-OCTUBRE.DICIEMBRE,112,2026-01-12T10:12:30.821139
,TOTAL,89882.58,82977.63,98415.41000000002,77718.59999999999,82732.13,,,Diferencia (2021-2025):,168148.09999999998,2025-OCTUBRE.DICIEMBRE,113,2026-01-12T10:12:30.821139
,,,,,,,,,Diferencia (2022-2025):,123510.81999999995,2025-OCTUBRE.DICIEMBRE,114,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-7150.449999999997,,,,,,Diferencia (2023-2025):,36795.83999999997,2025-OCTUBRE.DICIEMBRE,115,2026-01-12T10:12:30.821139
