ABRIL,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,Unnamed: 10,_sheet,_row_number,_imported_at
9,OUT ASTEX,BLUE HOLE           EXP. CONFECCION,,,,,C-SINK/LUNCH BOX 23 PAX,,,,2025-ABRIL.JUNIO,41,2026-01-12T10:12:30.821139
10,,,,,PROMOCION 1964-BANQUETE COMIDA,,CENA GPO. VIAGGIO/ 25 PAX,,,,2025-ABRIL.JUNIO,42,2026-01-12T10:12:30.821139
11,,,,,,,,,,,2025-ABRIL.JUNIO,43,2026-01-12T10:12:30.821139
12,,,,,,,CENA MENU/40 PAX,,,,2025-ABRIL.JUNIO,44,2026-01-12T10:12:30.821139
13,,,,,,,CENA MENU/40 PAX                           GPO. HOTUSA 27 PAX CENA,,,,2025-ABRIL.JUNIO,45,2026-01-12T10:12:30.821139
14,,,STARBUCKS/KEYTEL (40 PAX),,,,CENA MENU/40 PAX,,,,2025-ABRIL.JUNIO,46,2026-01-12T10:12:30.821139
15,,"REUNIÓN SR. BARRAN                ""U"" 6 PAX + COFFEE","ABOCA/40 ""ESCUELA"".",COFFEE MAÑANA Y TARDE/ABOCA 40 PAX,,,CENA MENU/40 PAX,,,,2025-ABRIL.JUNIO,47,2026-01-12T10:12:30.821139
16,,,,,,,CENA MENU/40 PAX,,,,2025-ABRIL.JUNIO,48,2026-01-12T10:12:30.821139
17,,CD TENERIFE-JUVENIL A   FISIOTERAPEUTA,CD TENERIFE-JUVENIL A               CHARLA TECNICA,CD TENERIFE-JUVENIL A                         (COMEDOR EQUIPO),CD TENERIFE-JUVENIL A                              (COMEDOR EQUIPO),,CENA MENU/40 PAX,FESTIVO ,,,2025-ABRIL.JUNIO,49,2026-01-12T10:12:30.821139
18,,,,,,,CENA MENU GRUPO/26 PAX,,,,2025-ABRIL.JUNIO,50,2026-01-12T10:12:30.821139
19,,,,,"BNG/""IMPERIAL"" 12 PAX x tarde",,CENA MENU GRUPO/26 PAX,,,,2025-ABRIL.JUNIO,51,2026-01-12T10:12:30.821139
